entity01,2000.01,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2000.01.01,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2000.01.03,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2000.02,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2000.03,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2006.01,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2006.02,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2010,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.01.01,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.01.05,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.01.06,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.03.01,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.07,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.10,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.11.02,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.12,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.01,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.03,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.05,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.06,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.07,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.08,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.09,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.10,1,2,3,4,5,6,7,8,9,10,11,12
entity01,2015.06.11,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2000.01,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2000.01.01,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2000.01.03,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2000.02,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2000.03,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2006.01,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2006.02,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2010,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.01.01,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.01.05,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.01.06,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.03.01,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.07,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.10,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.11.02,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.12,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.01,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.03,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.05,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.06,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.07,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.08,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.09,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.10,1,2,3,4,5,6,7,8,9,10,11,12
entity02,2015.06.11,1,2,3,4,5,6,7,8,9,10,11,12
